council,slug,rural_min_site_m2,rural_min_site_m2__multi,rural_min_site_m2__basis,road_setback_national_m_num,road_setback_national_m_num__multi,road_setback_national_m_num__basis,road_setback_regional_m_num,road_setback_regional_m_num__multi,road_setback_regional_m_num__basis,road_setback_local_m_num,road_setback_local_m_num__multi,road_setback_local_m_num__basis,separation_distance_m_num,separation_distance_m_num__multi,separation_distance_m_num__basis,sightline_x_m_num,sightline_x_m_num__multi,sightline_x_m_num__basis,ev_charging_pct_num,ev_charging_pct_num__multi,ev_charging_pct_num__basis,part_v_pct_num,part_v_pct_num__multi,part_v_pct_num__basis,public_open_space_pct_num,public_open_space_pct_num__multi,public_open_space_pct_num__basis,site_coverage_pct_num,site_coverage_pct_num__multi,site_coverage_pct_num__basis,residential_density_dph_num,residential_density_dph_num__multi,residential_density_dph_num__basis,family_flat_max_gfa_m2,family_flat_max_gfa_m2__multi,family_flat_max_gfa_m2__basis,ribbon_houses,ribbon_per_m,ribbon__basis
Galway County Council,galway_county_council,2000.0,,2000 m² (single house on individual on-site wastewater treatment),35.0,Y,35 m (National Primary/Secondary); 90 m Motorways/Interchanges,25.0,,25 m,15.0,,15 m,22.0,,22 m back-to-back between dwellings / opposing first-floor windows; increased for over two storeys,2.4,Y,2.4 m (reduced to 2.0 m in difficult urban circumstances),20.0,,All developments should provide facilities for the charging of battery operated cars at a rate of up to 20% of the total car parking spaces. The remainder of the parking spaces should be constructed s,,,,,,,75.0,Y,75% single-storey/6m; 60% two-storey/9m; 50% three-storey/12m (commercial); industrial not exceed 75%,35,,35 dph standard (Core Strategy); 35-50 town centre/transit; 15-35 low-medium; 5-12 low,50.0,,The flat shall be modest in size and shall not have more than one bedroom (2 bedrooms in exceptional circumstances). The unit shall not exceed a gross floor area of 50 square metres. The flat shall fo,,,five or more houses on one side of any 250 m of road frontage (linear development)
Kerry County Council,kerry_county_council,,,,50.0,Y,National Primary: Minimum 50 m; National Secondary: Minimum 30 m (1.20.1),,,,20.0,,Other roads: Minimum 20m (1.20.1),22.0,,22 m between directly opposing above-ground-floor windows,,,,,,"Rapid EV charging points(s) should be provided, clearly marked and to the requirements of ESB networks at buildings that operate in accordance with the new EU (Energy Performance of Buildings) Regulat",,,,15.0,Y,Public open space should be provided at a minimum rate of 15% of total site area. ... Incidental pieces of unusable land shall not be considered to fulfil or partially fulfil the 15% requirement ... I,85.0,Y,85% urban (or up to existing on brownfield); 65% rural (one-off housing),,,,,,"The creation of an ancillary, subsidiary, dwelling unit to be occupied for habitable purposes, is generally acceptable, provided such proposals can demonstrate a bona fide need ... It is not a separat",,,
Kildare County Council,kildare_county_council,,,,91.0,,91 m (National Primary/Secondary; also Motorways 91 m),31.0,,31 m,18.5,,18.5 m (Urban/County Road; Distributor 18.5 m),22.0,Y,22 m between opposing above-ground-floor windows; 11 m min rear garden depth,,,,,,Electric Vehicle Charging Infrastructure Requirements (Table 15.10): New buildings or buildings undergoing major renovations (containing one or more than one dwelling) - As per Chapter 5 - Objective T,,,,20.0,Y,"On greenfield sites, the minimum area of open space that is acceptable within the site is 20% of the total site area (Natural/Semi-Natural up to a maximum of 8%). On institutional sites a minimum requ",50.0,Y,50% residential; 75% industrial; 66% retail and commercial,,,,,,Accommodation must be subsidiary to the main dwelling in scale and only in exceptional cases will more than one bedroom be permitted where a need has been demonstrated. The design standards for house ,,,
Kilkenny County Council,kilkenny_county_council,,,,,,,,,,,,,22.0,Y,22 m between two-storey dwellings / opposing upper-floor windows; 7.5 m rear setback in backland,,,,,,,,,,10.0,,"The Council will require a minimum public open space provision of 2.4 hectares per 1,000 population. For the purposes of this calculation, public open space requirements are to be based on residential",65.0,Y,65% normal; up to 85% in urban areas,10,,rural settlements up to 10 dwellings per hectare; otherwise responds to settlement character,,,The principal requirement for any proposed family flat extension is that the family flat shall generally be less than 50% of the floor area of the main dwelling. In the case of a two-storey family fla,4,250,4 houses on any one side of a given 250 m of road frontage
Laois County Council,laois_county_council,2020,,0.202 hectares (0.5 acres),,,,,,,,,,22.0,,22 m between opposing first-floor windows at rear,,,,10.0,,All developments should provide facilities for the charging of battery-operated cars at a rate of up to 10% of the total car parking spaces. The remainder of the parking spaces should be constructed s,10.0,,"Ensure 10% of all lands zoned for residential uses, or for a mixture of residential and other uses, shall be reserved for the provision of social and/or affordable housing in order to address the requ",10.0,,Public open space shall comprise of the following: In large infill sites or brown field sites public open space should generally be provided at a minimum rate of 10% of the total site area. In greenfi,,,,,,Key Town 35; Self-Sustaining/Growth 30; Towns 25; Small Towns & Villages 15 (centre); Rural Settlements ~10-12 units/ha (per Table 13.4),,,The Council will consider the provision of accommodation for older people and dependant relatives attached to the existing family home subject to compliance with the following criteria: 1) The unit sh,,,5 or more houses on any one side of a given 250 m of road frontage
Leitrim County Council,leitrim_county_council,,,,,,,,,,,,,22.0,Y,22 m between opposing above-ground-floor / first-floor habitable room windows; 2.0-2.5 m between detached and semi-detached dwellings,3.0,,3.0 m back from edge of carriageway,20.0,,All developments should provide facilities for the charging of battery-operated cars at a rate of up to 20% of the total car parking spaces. The remainder of the parking spaces should be constructed (,,,,15.0,Y,"Public open space on greenfield sites equating to a minimum of 15% of the total site area, a minimum 10% on large infill sites/brownfield sites and 20% on institutional lands. The areas of public open",50.0,Y,Residential 50%; Industrial 75%; Other employment 60%; Retail & commercial 66%; Town centre up to 80%,,,"infill ~15 units/ha, edge of centre ~30, outer suburban ~25; Tier 2A Growth Towns 20; Key Villages 15; lower-density settlements 5-10 (Table 2.6)",,,Family flat or 'granny' flat accommodation represents a temporary arrangement to accommodate an immediate family member or carer within an existing dwelling unit in a semi-independent capacity. The pr,,,
Limerick City and County Council,limerick_city_and_county_council,2000,,0.2 hectares (0.5 acres),20.0,Y,National Primary and National Secondary Roads 20 m.; New National Primary Roads 90 m. (Table DM 7),30.0,,"County Roads and Regional Roads 30 m. (minimum building line from the near road edge, Table DM 7)",,,,22.0,Y,22 m between opposing windows (apartments up to 3 storeys); 22 m between opposing rear first-floor windows (houses); 3 m side separation,,,,10.0,,All new car parks (other than residential development) will provide the necessary wiring/ducting capable of accommodating electric vehicle charging points at a rate of 10% of the total car park spaces,,,,15.0,Y,"In accordance with the 2009 Sustainable Residential Guidelines and any subsequent guidelines, at a minimum, 15% of the gross greenfield sites should be provided as multi-functional open space in new r",50.0,Y,Enterprise/employment (greenfield) 40–50%; urban-centre 70% expected,,,Serviced sites: generally 10 housing units per hectare,,,,,,"In order to limit the negative visual impact arising from a series of dwellings along a road in rural areas, dwellings generally should avoid regular minimum set back and be staggered in relation to a"
Longford County Council,longford_county_council,2000,,0.2 ha (individual treatment system),,,"National Primary Road 35 metres; National Secondary Road 35 metres (minimum building lines for all structures facing the public road, DMS16.115)",,,"Regional Road 25 metres (minimum building line, DMS16.115)",,,"Local Road 15 metres (minimum building line, DMS16.115)",22.0,Y,22 m between directly opposing rear windows at first floor (DMS16.32); 35 m for overlooking living-room windows/balconies at upper floors (DMS16.33),,,,10.0,,"All developments, including new and extended developments (residential, community and commercial) should provide facilities for the charging of battery-operated cars at a rate of up to 10% of the tota",,,,15.0,,"DMS16.26 In greenfield sites, the minimum area of open space that is acceptable within the site is 15% of the total site area. DMS16.27 A relaxation of these standards may be considered where the over",50.0,Y,Residential 50%; Retail 60%; Industrial & Commercial 75%; Town Centre 80%; generally not to exceed 80%,,,DMS16.17: 30 units/ha Longford town centre; DMS16.18: 12 units/ha other towns/settlements; DMS16.19 rural villages take cognisance of prevailing scale,,,DMS16.82 Require applicants to submit documentary evidence to demonstrate the need for the family flat unit. DMS16.83 Ensure that there shall be no permanent sub-division of the garden/private amenity,,,"Discourage the proliferation of road access points onto public roads, especially in areas where the maximum speed limits applies or where road safety is of concern. The sharing of vehicular entrances "
Louth County Council,louth_county_council,,,,,,,,,,,,,22.0,,22 m between directly opposing first-floor habitable room windows,3.0,Y,3.0 m (1-6 houses) / 4.5 m (7+/non-domestic); 2.4 m allowed in certain circumstances,20.0,,In communal parking areas the necessary ducting and wiring to facilitate the installation of Electric Vehicle charging points shall be provided at a rate of 20% of total spaces. In all car parking are,,,,15.0,,"Public open space within a development shall normally equate to 15% of the total site area. In developments where the standard of the open space is of a high quality due to its location, functionality",60.0,,"Offices 60%; Manufacturing 60%; Distribution/Warehousing 60% (employment buildings, Table 13.8)",,,"Regional Growth Centres (Dundalk, Drogheda) 50/ha centre, 35 edge; Self-Sustaining Growth Towns (Ardee, Dunleer) 35 centre, 25 edge (Table 13.3)",50.0,,Scale — The family flat shall be ancillary to the main dwelling and shall be modest in size and scale with a floor space that shall generally not exceed 50m². Integration — If attached to the main dwe,,,five or more houses on one side of any given 250 m of road frontage
Mayo County Council,mayo_county_council,2000.0,Y,2000 m² (Rural Countryside/Transition); 3000 m² Coastal/Lakeshore (min 40 m width); 1500 m² replacement dwelling,40.0,,40 m,20.0,,20 m,10.0,,10 m,22.0,Y,22 m opposing first-floor windows; 35 m living-room windows; 3 m side walls,2.4,Y,2.4 m (urban 30 km/h); 3 m (regional/national),10.0,Y,"A minimum of 10% of the proposed car parking spaces required for the category of development listed in car parking standards below shall be provided with electrical connection points, to allow for fun",,,,15.0,Y,"In greenfield sites, the minimum area of multi-functional public open space that shall be provided is 15% of the total site area and public open space should be provided within 150 metres walking dist",60.0,,Shall not normally exceed 60%,35,Y,35 dph town centre/adjacent; 20 dph inner urban suburbs; 5 dph urban periphery/rural settlements,,,"Granny Flats/ Independent Living Units maybe considered separate to the existing house on site, subject to not exceeding a floor area of 60m2. Such units shall be single storey only. (Self-Contained I",,,
Meath County Council,meath_county_council,,,,,,,,,,,,,16.0,Y,16 m between directly opposing rear/side windows above ground floor; 2.3 m between dwellings for full length of flanks,,,,20.0,,"DM OBJ 94: All car parks shall include the provision of necessary wiring and ducting to be capable of accommodating future Electric Vehicle charging points, at a rate of 20% of total space numbers. DM",,,,15.0,Y,"DM OBJ 26: Public open space shall be provided for residential development at a minimum rate of 15% of total site area. In all cases lands zoned F1 Open Space, G1 Community Infrastructure and H1 High ",80.0,,Shall generally not exceed 80%,,,"Per Sustainable Residential Development and Compact Settlements Guidelines 2024; at/above mid-density at central/accessible, below mid-range at peripheral (no fixed uph table)",,,DM OBJ 49: All applications for family flat development shall comply with the following criteria: The flat shall form an integral part of the structure of the main house with provision for direct inte,,,
Monaghan County Council,monaghan_county_council,,,,90.0,,"National Route: 90m (setback from the near edge of the surfaced carriageway, rural area, §15.27)",30.0,,"Regional Route: 30m (setback from the near edge of the surfaced carriageway, rural area, §15.27)",18.0,,"County Road: 18m (setback from the near edge of the surfaced carriageway, rural area, §15.27)",,,,3.0,Y,3.0 m (national/regional upgraded); 2.4 m (regional not upgraded/local),,,All residential developments with proposed communal parking and all non-residential proposed development shall normally provide EV car parking spaces at a rate of one space in five. (15.24),20.0,,Under the provisions of Part V of the Act 20% of all private residential developments on land zoned for residential or mixed uses (where residential development is included) shall be provided for soci,,,"Public open space shall be provided in accordance with the standards set out in the Sustainable Residential Development and Compact Settlements, Guidelines for Planning Authorities (2024), specificall",,,,,,Per Sustainable Residential Development and Compact Settlements Guidelines 2024 (no fixed table); max 15 units/ha on 'Proposed Residential B' lands,70.0,,Independent living accommodation for a family member: The accommodation shall not exceed a gross floor area of 70sqm and shall be subordinate in size and scale to that of the main dwelling. It shall b,,,"The Sustainable Rural Housing Guidelines define ribbon development as five or more houses on any one side of a given 250 metres of road frontage. The ribbon may not have a uniform building line, and b"
Offaly County Council,offaly_county_council,2000,Y,0.2 hectares (0.5 acres) (DMS-45); 0.202 hectares (0.5 acres) rural infill (DMS-54),,,,,,,,,,22.0,Y,22 m between directly opposing rear first floor windows (DMS-13); 2.5 m single storey / 3 m two-storey between side walls (DMS-14),2.4,,2.4 m from road edge (DMS-97),10.0,,"A minimum of 10% of the proposed car parking spaces required for the category of development listed in car parking standards contained in DMO-102 shall be provided with electrical connection points, t",,,Details to be submitted with planning applications shall include; How the applicant intends to discharge their Part V obligation as regards a selection of a preferred option from the options available,15.0,Y,"In greenfield sites, the minimum area of public open space that shall be provided is 15% of the total site area; In brownfield sites or large infill sites, the minimum area of public open space that s",,,,,,Determined with reference to Sustainable Residential Development Guidelines 2009 and prevailing scale/pattern (no fixed uph table),,,Planning applications for the provision of accommodation for a dependant family member or relative comply with the following criteria; Granny flat/unit shall be attached to the existing dwelling. The ,,,Limited infill development shall be permitted in the open countryside where the proposed site shall coalesce the existing linear pattern of development and shall not be located at the end of a line of
Roscommon County Council,roscommon_county_council,,,,,,,,,,,,,,,,3.0,Y,3 m (national/regional); 2.4 m (local),20.0,,All developments should provide facilities for the charging of battery operated cars at a rate of at least 20% of the total car parking spaces. The remainder of the parking spaces should be constructe,,,,15.0,Y,Communal (public or shared) open space should be appropriately integrated into the overall residential layout and should comprise of 15% of gross site area for green field sites and 10% for brown fiel,75.0,Y,Should not exceed 75% for industrial or retail; 80% may be permissible in town centre locations,,,Determined with reference to Sustainable Residential Development in Urban Areas Guidelines; authority discretion in varying maximum density standards (no fixed uph table),,,A Granny Flat refers to ancillary accommodation for family members (granny flats). Proposals for Granny Flats may be facilitated in either in the form of an extension to a dwelling house or in a detac,,,"The Plan supports the use of rural clusters, or groups of buildings, in appropriate locations, as an alternative to ribbon development in the rural landscape. The grouping of new housing in rural clus"
Sligo County Council,sligo_county_council,,,,,,,,,,,,,16.0,Y,16 m between opposing habitable-room windows above ground floor; 2.3 m between side walls,,,,,,"Table 33.11 EV charging point standards: Residential multi-unit developments (new buildings and major renovations with private car spaces, including visitor spaces) — A minimum of one EV charge point ",,,,10.0,Y,"A minimum of 10% and a maximum of 15% of the net site area shall be reserved for the provision of communal open space, landscaped to a high standard. The minimum requirement should be justified taking",,,,,,,70.0,,The Planning Authority will consider the provision of an independent living unit for a family member subject to the following requirements: there is a demonstrated need to provide an independent unit ,,,Ribbon development means frontage development along a road where there is no other development in the backlands. It is defined as five or more houses located within a 250m stretch of road (one side or
South Dublin County Council,south_dublin_county_council,,,,,,,,,,,,,22.0,,circa 22 m between opposing windows (incl. apartments up to three storeys),,,,20.0,,"EV charging shall be provided in all residential, mixed use and commercial development and shall comprise a minimum of 20% of the total parking spaces provided, with higher provision within this range",,,,15.0,Y,"Table 12.22 Minimum Public Open Space Standards: Overall Standard 2.4 Ha per 1,000 Population; New Residential Development on Lands Zone RES-N Minimum 15% of site area; New Residential Development on ",,,,,,No numerical density limit; contextual/performance framework (Appendix 10),,,A family flat is to provide semi-independent accommodation for an immediate family member (dependent of the main occupants of an existing dwelling). A family flat is not considered to represent an ind,,,A minimum road frontage of 60 metres should be provided for all new dwelling sites in rural areas and a proliferation of housing along stretches of road in a manner that creates ribbon development sho
Tipperary County Council,tipperary_county_council,,,,,,,,,,,,,22.0,,22 m between directly opposing windows at first floor level,2.4,Y,"2.4 m (national, stop control); 3.0 m (regional/local stop); 4.5 m (yield); 2.0 m (lightly trafficked single residence)",,,Provisions for electric vehicle charging points shall be made in housing developments in excess of 10 units; and all commercial and industrial development that facilitate car parking (3.9). S.I. No. 3,,,Has the proposal identified how the requirement of Part V (if applicable) is addressed in a manner that best suits social and community needs and how the demand for affordable housing in the area will,15.0,,At least 15% of total site area shall be allocated for public open space. Public amenity areas shall be capable of passive supervision and shall provide a safe area for play. Pedestrian and cycle link,,,,,,Refer to relevant settlement plan (Volume 2); no fixed table in DM Standards volume,50.0,,Consideration can be given to building ancillary accommodation as an extension to an existing house where it can be shown that such is required for a family member. Proposals for such development will,,,
Waterford City & County Council,waterford_city_and_county_council,,,,,,It is a policy of the Council to avoid the creation of any additional access point from new development or the generation of increased traffic from existing accesses to national roads to which speed l,25.0,Y,Preferably not less than 25 m from public-road boundary (specified protected routes); in any event not less than 18 m,18.0,,General set-back 18 m from road fence on all County roads,22.0,,22 m between directly opposing above-ground-floor windows (reciprocal overlooking),4.5,Y,4.5 m (housing estates/commercial/industrial) or 2.4 m (single dwellings),10.0,,Residential multi-unit developments (new buildings and major renovations): A minimum of 1 EV charge point space per five car parking spaces (ducting for every parking space shall also be provided). No,10.0,Y,A recent significant change to Part V arrangements under the Affordable Housing Act 2021 is to increase the Part V contribution for new housing developments from up to 10% for social housing to a mand,15.0,Y,"Public open space should be provided at a minimum rate of 15% of total site area, save in developments where increased building heights and densities are considered appropriate such as those specified",75.0,,Shall not normally exceed 75%,,,"Criteria-based, location-dependent (Section 3.2); fixed dwellings/ha figures carried in Volume 1 Core Strategy / Table 3.2",,,"The creation of an ancillary, subsidiary, dwelling unit ('granny flat') to be occupied for habitable purposes, is generally acceptable, provided such proposals can demonstrate that: It is not a separa",,,Dwellings which give rise to or exacerbate an existing pattern of ribbon development shall generally not be permitted. Ribbon development is defined as where 5 or more houses exist on any one side of 
Westmeath County Council,westmeath_county_council,,,,,,,,,,,,,22.0,Y,22 m separation between opposing rear first-floor windows; ground-floor window not less than 1 m from boundary (CPO 16.14),,,"Safe unobstructed sight distances should be provided and maintained thereafter from vehicular entrances onto the road network as follows: Local Roads: 90 metres, (subject to the discretion of the Plan",10.0,,All developments should provide facilities for the charging of battery-operated cars at a rate of up to 10% of the total car parking spaces. The remainder of the parking spaces should be constructed s,,,,15.0,,"In general, 15% of gross site area should be provided for multifunctional open spaces at suitable locations within new residential schemes. These open spaces should be easily accessible to all residen",,,,,,Site-by-site; higher densities encouraged at accessible locations; no fixed countywide uph table,,,Dependent Relative Accommodation/Granny Flats: Proposals for this type of accommodation should demonstrate: A bona-fide need for such a unit; A physical connection to the main house with direct access,,,
